app.freerouting.autoroute.AutorouteControl	trace_costs	traceCosts
app.freerouting.autoroute.AutorouteControl	with_neckdown	withNeckdown
app.freerouting.autoroute.AutorouteControl	layer_active	layerActive
app.freerouting.autoroute.AutorouteControl	layer_count	layerCount
app.freerouting.autoroute.AutorouteControl	trace_half_width	traceHalfWidth
app.freerouting.autoroute.AutorouteControl	compensated_trace_half_width	compensatedTraceHalfWidth
app.freerouting.autoroute.AutorouteControl	via_radius_arr	viaRadiusArr
app.freerouting.autoroute.AutorouteControl	add_via_costs	addViaCosts
app.freerouting.autoroute.AutorouteControl	trace_clearance_class_no	traceClearanceClassNo
app.freerouting.autoroute.AutorouteControl	vias_allowed	viasAllowed
app.freerouting.autoroute.AutorouteControl	attach_smd_allowed	attachSmdAllowed
app.freerouting.autoroute.AutorouteControl	min_normal_via_cost	minNormalViaCost
app.freerouting.autoroute.AutorouteControl	ripup_allowed	ripupAllowed
app.freerouting.autoroute.AutorouteControl	ripup_costs	ripupCosts
app.freerouting.autoroute.AutorouteControl	ripup_pass_no	ripupPassNo
app.freerouting.autoroute.AutorouteControl	is_fanout	isFanout
app.freerouting.autoroute.AutorouteControl	fanout_start_pin_name	fanoutStartPinName
app.freerouting.autoroute.AutorouteControl	fanout_start_pin_center	fanoutStartPinCenter
app.freerouting.autoroute.AutorouteControl	fanout_start_pin_layer	fanoutStartPinLayer
app.freerouting.autoroute.AutorouteControl	remove_unconnected_vias	removeUnconnectedVias
app.freerouting.autoroute.AutorouteControl	net_no	netNo
app.freerouting.autoroute.AutorouteControl	via_clearance_class	viaClearanceClass
app.freerouting.autoroute.AutorouteControl	via_rule	viaRule
app.freerouting.autoroute.AutorouteControl	via_info_arr	viaInfoArr
app.freerouting.autoroute.AutorouteControl	via_lower_bound	viaLowerBound
app.freerouting.autoroute.AutorouteControl	via_upper_bound	viaUpperBound
app.freerouting.autoroute.AutorouteControl	max_via_radius	maxViaRadius
app.freerouting.autoroute.AutorouteControl	tidy_region_width	tidyRegionWidth
app.freerouting.autoroute.AutorouteControl	pull_tight_accuracy	pullTightAccuracy
app.freerouting.autoroute.AutorouteControl	max_shove_trace_recursion_depth	maxShoveTraceRecursionDepth
app.freerouting.autoroute.AutorouteControl	max_shove_via_recursion_depth	maxShoveViaRecursionDepth
