relative_path,board,tier,run_at,score_before,score_before_linear,score_after,score_after_linear,score_after_wd1,delta,u_before,u_after,c_after,d_after,d_after_wd1,raw_after,D,incomplete_after,connections,open_frac_before,open_frac_after,drc_after,viol_um_after
PCBench/ATmega32_ExploreUltraAvrDevKit__autosave-MCU_BaseBoard/unrouted.dsn,ATmega32_ExploreUltraAvrDevKit__autosave-MCU_BaseBoard,C,2026-09-09T06:01:20.377367+00:00,0.0,210.67,987.62,992.63,989.39,987.62,1000.0,10.025,0.583,1.776,0.006,987.616,85.79,2.0,399.0,0.787,0.005,2.0,508.0
PCBench/avr_ledprojector_avr_ledprojection-0402/unrouted.dsn,avr_ledprojector_avr_ledprojection-0402,B,2026-09-09T06:05:53.719623+00:00,544.69,771.96,987.87,993.55,987.89,443.18,454.545,11.364,0.747,0.017,0.0,987.872,66.91,1.0,176.0,0.2273,0.0057,2.0,3.81
PCBench/bee-light-measurement-matrix_bee-light-measurement-matrix/unrouted.dsn,bee-light-measurement-matrix_bee-light-measurement-matrix,B,2026-09-09T06:09:49.897667+00:00,0.0,0.0,987.88,993.94,987.88,987.88,1000.0,12.121,0.0,0.0,0.0,987.879,51.13,1.0,165.0,1.0,0.0061,0.0,0.0
PCBench/dorkyboard_keyboard/unrouted.dsn,dorkyboard_keyboard,D,2026-09-09T07:19:28.170812+00:00,0.0,356.63,987.95,993.98,987.95,987.95,1000.0,12.048,0.0,0.0,0.0,987.952,112.22,5.0,830.0,0.6434,0.006,0.0,0.0
PCBench/2d_conduction_sk9822-matrix/unrouted.dsn,2d_conduction_sk9822-matrix,B,2026-09-09T06:45:02.802296+00:00,572.19,786.1,989.3,994.65,989.3,417.11,427.807,10.695,0.0,0.0,0.0,989.305,92.07,2.0,374.0,0.2139,0.0053,0.0,0.0
PCBench/android_debug_cable_android_debug_cable/unrouted.dsn,android_debug_cable_android_debug_cable,B,2026-09-09T05:43:45.569296+00:00,18.06,503.78,989.49,989.49,993.09,971.43,971.429,0.0,6.897,3.613,0.012,989.491,29.0,0.0,35.0,0.4857,0.0,8.0,349.21
PCBench/badge2016_Badge_init/unrouted.dsn,badge2016_Badge_init,D,2026-09-09T06:04:13.654041+00:00,489.91,739.91,989.91,989.91,996.45,500.0,500.0,0.0,3.533,6.554,0.022,989.914,120.3,0.0,84.0,0.25,0.0,17.0,2627.96
PCBench/CoreOne-xCORE200-Original_CoreOne/unrouted.dsn,CoreOne-xCORE200-Original_CoreOne,D,2026-09-09T07:18:10.246393+00:00,242.59,617.59,990.14,991.37,995.26,747.55,750.0,2.451,2.269,5.139,0.017,990.14,363.54,1.0,816.0,0.375,0.0012,33.0,6227.67
PCBench/bmw-ibus-bluetooth_bmw_bt_cdcemu_digital/unrouted.dsn,bmw-ibus-bluetooth_bmw_bt_cdcemu_digital,B,2026-09-08T21:31:56.326132+00:00,558.92,774.92,990.92,990.92,998.05,432.0,432.0,0.0,1.925,7.159,0.024,990.917,51.95,0.0,125.0,0.216,0.0,4.0,1239.62
PCBench/6N137-TTL-Serial-Optoisolator_6N137-TTL-Serial-Optoisolator/unrouted.dsn,6N137-TTL-Serial-Optoisolator_6N137-TTL-Serial-Optoisolator,B,2026-09-09T05:30:47.084615+00:00,0.0,0.0,991.33,991.33,996.12,991.33,1000.0,0.0,3.867,4.803,0.016,991.33,25.86,0.0,28.0,1.0,0.0,4.0,414.0
PCBench/Blink-Eras_Blink Eras/unrouted.dsn,Blink-Eras_Blink Eras,B,2026-09-08T21:28:14.892496+00:00,153.52,572.87,992.23,992.23,994.66,838.71,838.71,0.0,5.334,2.439,0.008,992.227,28.12,0.0,31.0,0.4194,0.0,6.0,228.6
PCBench/8088_sbc2_pcb_8088_sbc2/unrouted.dsn,8088_sbc2_pcb_8088_sbc2,C,2026-09-09T06:46:22.301787+00:00,0.0,28.99,992.4,995.45,993.22,992.4,1000.0,6.098,0.683,0.819,0.003,992.401,73.23,1.0,328.0,0.9695,0.003,2.0,199.8
PCBench/autohat-board_autohat-rig/unrouted.dsn,autohat-board_autohat-rig,B,2026-09-09T06:00:44.556974+00:00,214.52,604.04,993.55,993.55,997.41,779.03,779.026,0.0,2.581,3.869,0.013,993.55,77.5,0.0,267.0,0.3895,0.0,8.0,999.61
PCBench/AmpOne_dev-AmpOne/unrouted.dsn,AmpOne_dev-AmpOne,C,2026-09-09T06:53:40.198360+00:00,21.81,510.9,993.77,996.88,993.77,971.96,978.193,6.231,0.0,0.0,0.0,993.769,71.77,1.0,321.0,0.4891,0.0031,0.0,0.0
PCBench/bikedar_bikedar/unrouted.dsn,bikedar_bikedar,B,2026-09-08T21:25:01.791745+00:00,429.23,711.84,994.45,994.45,998.0,565.22,565.217,0.0,1.983,3.57,0.012,994.447,75.63,0.0,138.0,0.2826,0.0,6.0,900.0
PCBench/Baofeng-Interface_BaofengInterface/unrouted.dsn,Baofeng-Interface_BaofengInterface,B,2026-09-09T06:04:38.511591+00:00,0.0,0.0,994.77,994.77,996.95,994.77,1000.0,0.0,3.041,2.186,0.007,994.772,32.88,0.0,76.0,1.0,0.0,4.0,239.62
PCBench/Atreus_54percent_rev/unrouted.dsn,Atreus_54percent_rev,C,2026-09-09T06:07:46.527901+00:00,0.0,111.34,995.8,997.9,995.8,995.8,1000.0,4.202,0.0,0.0,0.0,995.798,118.59,1.0,476.0,0.8887,0.0021,0.0,0.0
PCBench/balena-rover-wide-hat_resin-rover/unrouted.dsn,balena-rover-wide-hat_resin-rover,B,2026-09-09T06:09:15.469299+00:00,424.23,710.59,996.96,996.96,997.65,572.73,572.727,0.0,2.343,0.7,0.002,996.956,64.01,0.0,220.0,0.2864,0.0,6.0,149.4
PCBench/BITxo_BITxo/unrouted.dsn,BITxo_BITxo,B,2026-09-08T21:25:22.249959+00:00,314.05,655.51,996.97,996.97,998.1,682.93,682.927,0.0,1.893,1.136,0.004,996.972,26.42,0.0,41.0,0.3415,0.0,2.0,100.0
PCBench/BirdAttractor_BirdAttractor_RevA/unrouted.dsn,BirdAttractor_BirdAttractor_RevA,B,2026-09-09T06:09:16.290739+00:00,0.0,255.4,997.33,997.33,997.98,997.33,1000.0,0.0,2.014,0.655,0.002,997.331,24.83,0.0,31.0,0.7419,0.0,2.0,54.22
PCBench/a123-battery-integration_BCM/unrouted.dsn,a123-battery-integration_BCM,B,2026-09-09T06:44:10.579694+00:00,209.68,603.62,997.56,997.56,998.47,787.88,787.879,0.0,1.529,0.915,0.003,997.556,98.12,0.0,165.0,0.3939,0.0,6.0,299.4
PCBench/1-Wire-Wing-pcb_1-Wire_Wing/unrouted.dsn,1-Wire-Wing-pcb_1-Wire_Wing,B,2026-09-09T06:40:37.215985+00:00,41.67,520.83,1000.0,1000.0,1000.0,958.33,958.333,0.0,0.0,0.0,0.0,1000.0,31.5,0.0,48.0,0.4792,0.0,0.0,0.0
PCBench/16x12-bits-I2C_I2C_Servo/unrouted.dsn,16x12-bits-I2C_I2C_Servo,B,2026-09-09T05:30:15.068636+00:00,0.0,303.57,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,41.44,0.0,112.0,0.6964,0.0,0.0,0.0
PCBench/4-port-usb-hub_4port-usb-hub/unrouted.dsn,4-port-usb-hub_4port-usb-hub,B,2026-09-09T05:30:57.401016+00:00,0.0,469.03,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,40.09,0.0,113.0,0.531,0.0,0.0,0.0
PCBench/4N35-TTL-Serial-Optoisolator_4N35-TTL-Serial-Optoisolator/unrouted.dsn,4N35-TTL-Serial-Optoisolator_4N35-TTL-Serial-Optoisolator,A,2026-09-09T06:19:37.638660+00:00,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,24.56,0.0,20.0,1.0,0.0,0.0,0.0
PCBench/655_testboard/unrouted.dsn,655_testboard,B,2026-09-09T05:31:01.120984+00:00,0.0,350.88,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,33.34,0.0,57.0,0.6491,0.0,0.0,0.0
PCBench/6volt-5W-solar-cc_6vleadacidsolar/unrouted.dsn,6volt-5W-solar-cc_6vleadacidsolar,B,2026-09-09T05:34:23.836307+00:00,454.55,727.27,1000.0,1000.0,1000.0,545.45,545.455,0.0,0.0,0.0,0.0,1000.0,40.8,0.0,121.0,0.2727,0.0,0.0,0.0
PCBench/ADC-DAC-16bit_ADC-DAC-16bit/unrouted.dsn,ADC-DAC-16bit_ADC-DAC-16bit,A,2026-09-09T06:20:14.030612+00:00,444.44,722.22,1000.0,1000.0,1000.0,555.56,555.556,0.0,0.0,0.0,0.0,1000.0,26.56,0.0,36.0,0.2778,0.0,0.0,0.0
PCBench/ADC-PCM4202-SE_ADC-PCM4202-SE/unrouted.dsn,ADC-PCM4202-SE_ADC-PCM4202-SE,C,2026-09-09T05:53:26.462410+00:00,597.16,798.58,1000.0,1000.0,1000.0,402.84,402.844,0.0,0.0,0.0,0.0,1000.0,90.24,0.0,422.0,0.2014,0.0,0.0,0.0
PCBench/ADC-PCM4202_ADC-PCM4202/unrouted.dsn,ADC-PCM4202_ADC-PCM4202,C,2026-09-09T06:59:28.567184+00:00,504.59,752.29,1000.0,1000.0,1000.0,495.41,495.413,0.0,0.0,0.0,0.0,1000.0,94.78,0.0,436.0,0.2477,0.0,0.0,0.0
PCBench/APC_AtariPunkConsole/unrouted.dsn,APC_AtariPunkConsole,B,2026-09-09T05:47:47.629678+00:00,0.0,76.92,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,26.85,0.0,52.0,0.9231,0.0,0.0,0.0
PCBench/AS5043-Encoder_sensor-board/unrouted.dsn,AS5043-Encoder_sensor-board,A,2026-09-09T06:19:44.997494+00:00,200.0,600.0,1000.0,1000.0,1000.0,800.0,800.0,0.0,0.0,0.0,0.0,1000.0,26.39,0.0,30.0,0.4,0.0,0.0,0.0
PCBench/ATmega32_ExploreUltraAvrDevKit_40pin_AVRMCU/unrouted.dsn,ATmega32_ExploreUltraAvrDevKit_40pin_AVRMCU,A,2026-09-09T06:20:01.607510+00:00,0.0,175.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,35.93,0.0,80.0,0.825,0.0,0.0,0.0
PCBench/AVR-ZIF-Programmer_AVR-ZIF-Prog/unrouted.dsn,AVR-ZIF-Programmer_AVR-ZIF-Prog,B,2026-09-09T06:02:13.555127+00:00,0.0,264.37,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,32.8,0.0,87.0,0.7356,0.0,0.0,0.0
PCBench/Amiga-A1012-PCB_Amiga-A1012/unrouted.dsn,Amiga-A1012-PCB_Amiga-A1012,B,2026-09-09T05:42:18.308112+00:00,0.0,494.85,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,35.85,0.0,97.0,0.5052,0.0,0.0,0.0
PCBench/AnalogThermometer_AnalogThermometer/unrouted.dsn,AnalogThermometer_AnalogThermometer,A,2026-09-09T06:19:26.365973+00:00,485.71,742.86,1000.0,1000.0,1000.0,514.29,514.286,0.0,0.0,0.0,0.0,1000.0,26.88,0.0,35.0,0.2571,0.0,0.0,0.0
PCBench/Arduino_Lipo_Storage_Discharger_Lipo_Storage_Discharger/unrouted.dsn,Arduino_Lipo_Storage_Discharger_Lipo_Storage_Discharger,B,2026-09-09T05:49:57.507487+00:00,0.0,430.56,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,33.5,0.0,72.0,0.5694,0.0,0.0,0.0
PCBench/AzizLight_AzizLight/unrouted.dsn,AzizLight_AzizLight,B,2026-09-09T06:03:53.956035+00:00,411.76,705.88,1000.0,1000.0,1000.0,588.24,588.235,0.0,0.0,0.0,0.0,1000.0,38.15,0.0,102.0,0.2941,0.0,0.0,0.0
PCBench/BGM111-External-Programmer_BGM111_Programmer/unrouted.dsn,BGM111-External-Programmer_BGM111_Programmer,A,2026-09-09T06:20:07.216083+00:00,250.0,625.0,1000.0,1000.0,1000.0,750.0,750.0,0.0,0.0,0.0,0.0,1000.0,26.49,0.0,16.0,0.375,0.0,0.0,0.0
PCBench/BML-Badges_BML-Badges/unrouted.dsn,BML-Badges_BML-Badges,A,2026-09-09T06:20:13.722348+00:00,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,22.01,0.0,32.0,1.0,0.0,0.0,0.0
PCBench/BML-Badges_BML_01/unrouted.dsn,BML-Badges_BML_01,A,2026-09-09T06:20:17.070974+00:00,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,24.0,0.0,30.0,1.0,0.0,0.0,0.0
PCBench/Baofeng-Interface_BaofengInterfaceIsolated/unrouted.dsn,Baofeng-Interface_BaofengInterfaceIsolated,C,2026-09-09T06:05:18.909069+00:00,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,45.52,0.0,154.0,1.0,0.0,0.0,0.0
PCBench/BirdAttractor_BirdAttractor_RevC/unrouted.dsn,BirdAttractor_BirdAttractor_RevC,B,2026-09-08T21:25:04.333174+00:00,72.16,536.08,1000.0,1000.0,1000.0,927.84,927.835,0.0,0.0,0.0,0.0,1000.0,38.1,0.0,97.0,0.4639,0.0,0.0,0.0
PCBench/BirthdayCakeKeyboard_10Key/unrouted.dsn,BirthdayCakeKeyboard_10Key,B,2026-09-08T21:27:12.432703+00:00,0.0,240.84,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,54.15,0.0,191.0,0.7592,0.0,0.0,0.0
PCBench/Biscay_Blueeye_mcu/unrouted.dsn,Biscay_Blueeye_mcu,A,2026-09-09T06:20:54.421656+00:00,0.0,421.88,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,32.54,0.0,64.0,0.5781,0.0,0.0,0.0
PCBench/Blink-Eras_AVR_ISP_Pogo/unrouted.dsn,Blink-Eras_AVR_ISP_Pogo,A,2026-09-09T06:19:53.689393+00:00,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,21.04,0.0,6.0,1.0,0.0,0.0,0.0
PCBench/C-BISCUIT_crowbar/unrouted.dsn,C-BISCUIT_crowbar,A,2026-09-09T06:20:57.825376+00:00,333.33,666.67,1000.0,1000.0,1000.0,666.67,666.667,0.0,0.0,0.0,0.0,1000.0,22.88,0.0,18.0,0.3333,0.0,0.0,0.0
PCBench/CAL430FR_CAL430F_watch/unrouted.dsn,CAL430FR_CAL430F_watch,A,2026-09-09T06:21:08.271203+00:00,0.0,409.09,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,24.28,0.0,22.0,0.5909,0.0,0.0,0.0
PCBench/Camera-Modules_LG-G2-G3-13M-Breakout/unrouted.dsn,Camera-Modules_LG-G2-G3-13M-Breakout,A,2026-09-09T06:21:26.494945+00:00,0.0,275.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,25.71,0.0,40.0,0.725,0.0,0.0,0.0
PCBench/Cherry-Mx-Bitboard_Cherry Mx Bitboard/unrouted.dsn,Cherry-Mx-Bitboard_Cherry Mx Bitboard,A,2026-09-09T06:21:01.280653+00:00,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,21.42,0.0,11.0,1.0,0.0,0.0,0.0
PCBench/CubeSAT-Reaction-Wheel_Edison_Motor_Servo/unrouted.dsn,CubeSAT-Reaction-Wheel_Edison_Motor_Servo,A,2026-09-09T06:21:32.600599+00:00,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,23.79,0.0,8.0,1.0,0.0,0.0,0.0
PCBench/CubeSAT-Reaction-Wheel__autosave-GPIO to motor/unrouted.dsn,CubeSAT-Reaction-Wheel__autosave-GPIO to motor,A,2026-09-09T06:21:30.500218+00:00,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,26.5,0.0,27.0,1.0,0.0,0.0,0.0
PCBench/DA_Lamp_attiny44a_servo_i2c/unrouted.dsn,DA_Lamp_attiny44a_servo_i2c,A,2026-09-09T06:21:33.997212+00:00,0.0,500.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,24.55,0.0,20.0,0.5,0.0,0.0,0.0
PCBench/DaWeather---Project__autosave-CarteDaWeather/unrouted.dsn,DaWeather---Project__autosave-CarteDaWeather,A,2026-09-09T06:21:30.153863+00:00,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,27.44,0.0,43.0,1.0,0.0,0.0,0.0
PCBench/DiscoDanceFloorV1_BusTerminator/unrouted.dsn,DiscoDanceFloorV1_BusTerminator,A,2026-09-09T06:21:37.306457+00:00,375.0,687.5,1000.0,1000.0,1000.0,625.0,625.0,0.0,0.0,0.0,0.0,1000.0,23.59,0.0,16.0,0.3125,0.0,0.0,0.0
PCBench/ESP-12-breakout_ESP12E-breakout/unrouted.dsn,ESP-12-breakout_ESP12E-breakout,A,2026-09-09T06:22:12.011835+00:00,428.57,714.29,1000.0,1000.0,1000.0,571.43,571.429,0.0,0.0,0.0,0.0,1000.0,29.21,0.0,42.0,0.2857,0.0,0.0,0.0
PCBench/ESP-Breakout_ESP-Breakout/unrouted.dsn,ESP-Breakout_ESP-Breakout,A,2026-09-09T06:22:24.246538+00:00,666.67,833.33,1000.0,1000.0,1000.0,333.33,333.333,0.0,0.0,0.0,0.0,1000.0,30.58,0.0,54.0,0.1667,0.0,0.0,0.0
PCBench/ESP32-Module-Breakout_ESP32S-breakout/unrouted.dsn,ESP32-Module-Breakout_ESP32S-breakout,A,2026-09-09T06:22:57.618727+00:00,0.0,173.91,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,31.68,0.0,46.0,0.8261,0.0,0.0,0.0
PCBench/ESP_WiFiSwitch_WifiSwitch/unrouted.dsn,ESP_WiFiSwitch_WifiSwitch,A,2026-09-09T06:22:59.857591+00:00,0.0,181.82,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,24.26,0.0,22.0,0.8182,0.0,0.0,0.0
PCBench/Eggbot-Spherebot-polargraph-Controller_eggbot-spherebot-polargraph-controller/unrouted.dsn,Eggbot-Spherebot-polargraph-Controller_eggbot-spherebot-polargraph-controller,A,2026-09-09T06:22:25.417178+00:00,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,30.42,0.0,57.0,1.0,0.0,0.0,0.0
PCBench/HES-V2__autosave-hes/unrouted.dsn,HES-V2__autosave-hes,A,2026-09-09T06:23:56.627623+00:00,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,24.16,0.0,36.0,1.0,0.0,0.0,0.0
PCBench/HES-V2_hes/unrouted.dsn,HES-V2_hes,A,2026-09-09T06:24:00.635571+00:00,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,24.16,0.0,36.0,1.0,0.0,0.0,0.0
PCBench/Hardware-done-with-kicad_AVRlearn/unrouted.dsn,Hardware-done-with-kicad_AVRlearn,A,2026-09-09T06:23:56.108006+00:00,0.0,280.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,24.28,0.0,25.0,0.72,0.0,0.0,0.0
PCBench/I2CTempsensor_sensors/unrouted.dsn,I2CTempsensor_sensors,A,2026-09-09T06:24:13.093970+00:00,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,22.91,0.0,18.0,1.0,0.0,0.0,0.0
