relative_path,board,tier,run_at,optimizer_cpu_seconds,optimizer_passes,score_before,score_after,delta,dL_before,dV_before,dB_before,dL_after,dV_after,dB_after,D,incomplete_after,drc_after,Lmin,Vmin,Bmin
PCBench/Raspberry-Pi-Soft-Power-Controller_Switching Supply TPS563208 MCI/unrouted.dsn,Raspberry-Pi-Soft-Power-Controller_Switching Supply TPS563208 MCI,A,2026-09-09T06:30:00.329373+00:00,3.98,2,625.0,625.0,0.0,0.0,291.67,83.33,0.0,291.67,83.33,48.0,0.0,0.0,157.7,0,16
PCBench/kicad-projects_ili9341-breakout/unrouted.dsn,kicad-projects_ili9341-breakout,A,2026-09-09T06:25:03.952987+00:00,2.16,1,585.53,625.0,39.47,0.0,263.16,151.32,0.0,236.84,138.16,76.0,0.0,0.0,311.94,0,18
PCBench/CAL430FR_CAL430F_watch/unrouted.dsn,CAL430FR_CAL430F_watch,A,2026-09-09T06:21:08.271203+00:00,5.47,1,593.44,630.95,37.52,13.71,214.29,178.57,0.0,190.48,178.57,84.0,0.0,0.0,384.5,0,22
PCBench/esp-leipa_esp-12/unrouted.dsn,esp-leipa_esp-12,A,2026-09-09T06:22:43.835489+00:00,6.38,1,608.27,632.27,24.0,36.73,180.0,175.0,32.73,160.0,175.0,100.0,0.0,0.0,395.31,0,22
PCBench/mearm-base-pcb_ServoPCB/unrouted.dsn,mearm-base-pcb_ServoPCB,A,2026-09-09T06:27:14.186601+00:00,5.3,1,587.5,637.5,50.0,0.0,150.0,262.5,0.0,100.0,262.5,40.0,0.0,0.0,434.47,0,14
PCBench/nRF24breakoutBoard_nRF24-breakout/unrouted.dsn,nRF24breakoutBoard_nRF24-breakout,A,2026-09-09T06:27:40.686126+00:00,0.66,1,638.89,638.89,0.0,0.0,0.0,361.11,0.0,0.0,361.11,36.0,0.0,0.0,110.16,0,10
PCBench/Practicas-Curso-Kicad_Salguero_Federico2/unrouted.dsn,Practicas-Curso-Kicad_Salguero_Federico2,A,2026-09-09T06:29:59.033341+00:00,25.67,1,594.68,639.79,45.11,62.24,148.94,194.15,38.4,127.66,194.15,188.0,0.0,0.0,492.96,0,32
PCBench/arf154_arf154/unrouted.dsn,arf154_arf154,B,2026-09-09T06:47:32.999763+00:00,167.94,1,670.24,642.34,-27.9,92.86,113.21,123.69,131.25,104.82,121.59,477.0,0.0,122.0,581.72,5,74
PCBench/busblaster-to-swd_busblaster-to-swd/unrouted.dsn,busblaster-to-swd_busblaster-to-swd,A,2026-09-09T06:20:48.024322+00:00,7.72,2,631.19,655.08,23.89,11.67,95.24,261.9,11.58,71.43,261.9,84.0,0.0,0.0,235.68,0,18
PCBench/Phased-Array-Microphone-using-FPGA_SateliteMicrophone/unrouted.dsn,Phased-Array-Microphone-using-FPGA_SateliteMicrophone,A,2026-09-09T06:28:48.548380+00:00,27.69,2,614.02,659.32,45.3,73.48,181.82,130.68,67.95,136.36,136.36,88.0,0.0,0.0,211.77,0,30
PCBench/MAVRIC_Hardware_SoilBoard/unrouted.dsn,MAVRIC_Hardware_SoilBoard,A,2026-09-09T06:27:15.593076+00:00,12.55,1,609.02,659.45,50.44,3.05,241.38,146.55,0.03,206.9,133.62,116.0,0.0,0.0,357.37,0,31
