relative_path,board,tier,run_at,optimizer_cpu_seconds,optimizer_passes,score_before,score_after,delta,dL_before,dV_before,dB_before,dL_after,dV_after,dB_after,D,incomplete_after,drc_after,Lmin,Vmin,Bmin
PCBench/1-Wire-Wing-pcb_1-Wire_Wing/unrouted.dsn,1-Wire-Wing-pcb_1-Wire_Wing,B,2026-09-09T06:40:37.215985+00:00,63.23,2,0.0,0.0,0.0,8.77,827.59,666.67,16.03,551.72,632.18,174.0,0.0,0.0,465.92,0,42
PCBench/16x12-bits-I2C_I2C_Servo/unrouted.dsn,16x12-bits-I2C_I2C_Servo,B,2026-09-09T05:30:15.068636+00:00,103.41,1,0.0,0.0,0.0,0.0,1135.8,648.15,0.0,1086.42,641.98,324.0,0.0,0.0,1064.56,0,58
PCBench/1Bitsy_1bitsy/unrouted.dsn,1Bitsy_1bitsy,B,2026-09-09T06:44:49.618560+00:00,45.3,1,0.0,0.0,0.0,53.58,529.15,645.74,53.58,529.15,645.74,892.0,0.0,45.0,942.78,12,140
PCBench/4-port-usb-hub_4port-usb-hub/unrouted.dsn,4-port-usb-hub_4port-usb-hub,B,2026-09-09T05:30:57.401016+00:00,157.41,1,0.0,0.0,0.0,49.04,582.78,781.46,45.76,556.29,781.46,302.0,0.0,0.0,1082.32,2,83
PCBench/4_digit_hex_display_4_digit_display/unrouted.dsn,4_digit_hex_display_4_digit_display,C,2026-09-09T06:45:13.469229+00:00,12.14,1,0.0,0.0,0.0,71.57,936.17,1962.77,71.57,936.17,1962.77,376.0,3.0,0.0,1401.79,14,75
PCBench/59pct_keyboard/unrouted.dsn,59pct_keyboard,C,2026-09-09T05:39:44.489650+00:00,44.97,1,0.0,0.0,0.0,0.0,411.28,751.24,0.0,411.28,751.24,1206.0,4.0,40.0,7668.77,3,205
PCBench/655_testboard/unrouted.dsn,655_testboard,B,2026-09-09T05:31:01.120984+00:00,128.39,2,0.0,0.0,0.0,35.95,952.38,1142.86,35.95,952.38,1142.86,210.0,0.0,0.0,934.87,2,52
PCBench/6volt-5W-solar-cc_6vleadacidsolar/unrouted.dsn,6volt-5W-solar-cc_6vleadacidsolar,B,2026-09-09T05:34:23.836307+00:00,639.84,2,0.0,0.0,0.0,82.9,503.31,450.33,82.9,503.31,450.33,302.0,0.0,0.0,814.66,0,107
PCBench/8088_sbc2_pcb_8088_sbc2/unrouted.dsn,8088_sbc2_pcb_8088_sbc2,C,2026-09-09T06:46:22.301787+00:00,24.84,1,0.0,0.0,0.0,0.0,494.93,1150.1,0.0,494.93,1150.1,986.0,1.0,2.0,9264.21,0,178
PCBench/ADC-DAC-16bit_ADC-DAC-16bit/unrouted.dsn,ADC-DAC-16bit_ADC-DAC-16bit,A,2026-09-09T06:20:14.030612+00:00,20.63,1,0.0,0.0,0.0,32.16,425.53,702.13,38.27,340.43,638.3,94.0,0.0,0.0,207.84,1,32
PCBench/APM-RPi-Shield_APM-RPi-Shield/unrouted.dsn,APM-RPi-Shield_APM-RPi-Shield,B,2026-09-09T05:50:40.162155+00:00,17.58,1,0.0,0.0,0.0,41.57,512.82,1005.13,41.57,512.82,1005.13,390.0,4.0,4.0,1241.81,0,82
PCBench/ATmega32_ExploreUltraAvrDevKit__autosave-MCU_BaseBoard/unrouted.dsn,ATmega32_ExploreUltraAvrDevKit__autosave-MCU_BaseBoard,C,2026-09-09T06:01:20.377367+00:00,39.77,1,0.0,0.0,0.0,0.0,304.57,747.88,0.0,304.57,747.88,1182.0,2.0,2.0,6934.7,0,203
PCBench/AVR-ZIF-Programmer_AVR-ZIF-Prog/unrouted.dsn,AVR-ZIF-Programmer_AVR-ZIF-Prog,B,2026-09-09T06:02:13.555127+00:00,77.7,2,0.0,0.0,0.0,0.0,226.95,865.25,0.0,226.95,865.25,282.0,0.0,0.0,1525.53,0,54
PCBench/Amiga-A1012-PCB_Amiga-A1012/unrouted.dsn,Amiga-A1012-PCB_Amiga-A1012,B,2026-09-09T05:42:18.308112+00:00,216.78,1,0.0,0.0,0.0,37.83,1278.91,721.09,30.94,1224.49,727.89,294.0,0.0,0.0,1622.31,0,56
PCBench/Atreus_54percent_rev/unrouted.dsn,Atreus_54percent_rev,C,2026-09-09T06:07:46.527901+00:00,80.58,1,0.0,0.0,0.0,0.0,283.72,915.12,0.0,283.72,915.12,1720.0,1.0,0.0,7821.39,0,470
PCBench/AzizLight_AzizLight/unrouted.dsn,AzizLight_AzizLight,B,2026-09-09T06:03:53.956035+00:00,174.75,1,0.0,0.0,0.0,47.78,1068.7,404.58,42.7,1007.63,412.21,262.0,0.0,0.0,660.58,0,96
PCBench/BirdAttractor_BirdAttractor_RevC/unrouted.dsn,BirdAttractor_BirdAttractor_RevC,B,2026-09-08T21:25:04.333174+00:00,328.41,2,0.0,0.0,0.0,0.0,1115.65,394.56,0.0,1115.65,394.56,294.0,0.0,0.0,1137.24,0,71
PCBench/BirthdayCakeKeyboard_10Key/unrouted.dsn,BirthdayCakeKeyboard_10Key,B,2026-09-08T21:27:12.432703+00:00,201.67,1,0.0,0.0,0.0,4.1,992.7,2368.61,4.1,992.7,2368.61,548.0,0.0,0.0,3862.58,4,140
PCBench/Biscay_Blueeye_mcu/unrouted.dsn,Biscay_Blueeye_mcu,A,2026-09-09T06:20:54.421656+00:00,23.88,1,0.0,0.0,0.0,15.91,280.0,1320.0,15.5,240.0,1290.0,200.0,0.0,0.0,1133.67,0,40
PCBench/Biscay_Blueeye_sipm/unrouted.dsn,Biscay_Blueeye_sipm,C,2026-09-08T21:30:59.870603+00:00,63.16,1,0.0,0.0,0.0,46.57,506.33,749.37,46.57,506.33,749.37,790.0,4.0,0.0,1840.53,20,231
