relative_path,native_score,v2_router_after,v2_optimizer_after,v2_optimizer_before,unrouted,drc,min_trace_length_mm,min_via_count,min_bend_count,difficulty_d
PCBench/RPi-ATtiny85-Programmer_rpi_attiny85_programmer/unrouted.dsn,999.99,1000.0,999.31,999.62,0.0,0.0,230.86,0,13,52.0
PCBench/sb-serial-usb_ch340/unrouted.dsn,989.12,966.1,999.53,999.53,2.0,0.0,445.81,0,49,156.0
PCBench/m2-electronics_m2pogo/unrouted.dsn,999.99,1000.0,999.94,999.94,0.0,0.0,57.51,0,4,16.0
PCBench/4N35-TTL-Serial-Optoisolator_4N35-TTL-Serial-Optoisolator/unrouted.dsn,999.99,1000.0,999.83,999.86,0.0,0.0,231.14,0,18,76.0
PCBench/sensorboard_DiffIR/unrouted.dsn,999.99,1000.0,999.62,999.53,0.0,0.0,246.59,0,30,90.0
PCBench/PowerGloveUHID_sensor_board/unrouted.dsn,999.99,1000.0,999.63,999.63,0.0,0.0,353.77,0,10,84.0
PCBench/TTNEnschedeMote_ArduinoNanoRN2483/unrouted.dsn,999.99,1000.0,999.86,999.86,0.0,0.0,454.66,0,12,218.0
PCBench/breakout-boards_esp8266-jtag/unrouted.dsn,999.99,1000.0,999.62,999.64,0.0,0.0,376.75,0,41,144.0
PCBench/rufs_simple_kicad_schema_and_pcb_v1/unrouted.dsn,999.99,1000.0,999.83,999.83,0.0,0.0,50.8,0,1,12.0
PCBench/teensy-touch_teensy-touch/unrouted.dsn,999.97,1000.0,999.56,999.56,0.0,0.0,582.55,0,18,104.0
PCBench/BML-Badges_BML-Badges/unrouted.dsn,999.99,1000.0,999.9,999.92,0.0,0.0,495.46,0,20,86.0
PCBench/oled-bmp280-touch_oled-bmp280-touch/unrouted.dsn,999.98,1000.0,999.6,999.62,0.0,0.0,574.29,0,19,106.0
PCBench/Photodiode_dethead/unrouted.dsn,999.99,1000.0,999.9,999.93,0.0,0.0,242.45,0,31,108.0
PCBench/BGM111-External-Programmer_BGM111_Programmer/unrouted.dsn,999.99,1000.0,999.68,999.8,0.0,0.0,132.57,0,6,96.0
PCBench/kitspace_tt_nano_HAT_b1/unrouted.dsn,999.99,1000.0,999.7,999.67,0.0,0.0,520.09,0,28,168.0
PCBench/I2CTempsensor_sensors/unrouted.dsn,999.99,1000.0,999.88,999.85,0.0,0.0,144.1,0,15,48.0
PCBench/SmartLaserCO2-PCB_OptAdjust/unrouted.dsn,999.99,1000.0,999.96,999.96,0.0,0.0,97.8,0,5,28.0
PCBench/crossover-schiit-stack_xover4schiit/unrouted.dsn,999.98,1000.0,999.48,999.48,0.0,0.0,168.4,0,0,24.0
PCBench/rufs_dra818v_breakout_board/unrouted.dsn,999.99,1000.0,999.57,999.67,0.0,0.0,300.47,0,14,70.0
